distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_detector_det_eff_d0
70.0,False,10000000,bb84-decoy,BB84DecoyProtocol,10176,1054,0.0001054,198756.860882,0.0,0.0,0.00036244,0,5094,5082,0.0012365053,0.0002715624,1.00032e-05,0.0,0.0,0.5,0,1018,14.0,0.039810717055,OK,5.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20375,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
60.0,False,10000000,bb84-decoy,BB84DecoyProtocol,15914,2149,0.0002149,314733.983913,0.0,0.0,0.00023177,0,7919,7995,0.0019376491,0.000405686,1.09847e-05,0.0,0.0,0.45454545,0,1591,12.0,0.063095734448,OK,5.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32284,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
50.0,False,10000000,bb84-decoy,BB84DecoyProtocol,25557,4344,0.0004344,498132.008858,0.0,0.0,0.00014433,0,12697,12860,0.0031146391,0.0006173723,1.90123e-05,0.0,0.0,0.47368421,0,2556,10.0,0.1,OK,6.5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51224,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,247569,65209,0.0065209,4819313.396138,0.0,0.0,1.49e-05,0,123662,123907,0.0301523291,0.0061293582,0.0002071674,0.0,0.0,0.49758454,0,24757,0.0,1.0,OK,6.7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495465,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
40.0,False,10000000,bb84-decoy,BB84DecoyProtocol,40729,7197,0.0007197,787764.660056,0.0,0.0,9.057e-05,0,20379,20350,0.0049614635,0.0009931859,4.29685e-05,0.0,0.0,0.48837209,0,4073,8.0,0.158489319246,OK,7.0285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81138,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
20.0,False,10000000,bb84-decoy,BB84DecoyProtocol,100695,22705,0.0022705,1961257.174125,0.0,0.0,3.663e-05,0,50186,50509,0.0122630003,0.0024789241,7.91134e-05,0.0,0.0,0.50632911,0,10070,4.0,0.398107170553,OK,7.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202174,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
10.0,False,10000000,bb84-decoy,BB84DecoyProtocol,158703,38978,0.0038978,3081872.882826,0.0,0.0,2.324e-05,0,79218,79485,0.0193272469,0.0039438891,0.0001151118,0.0,0.0,0.49565217,0,15870,2.0,0.63095734448,OK,7.5588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317573,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
30.0,False,10000000,bb84-decoy,BB84DecoyProtocol,64380,13686,0.0013686,1244223.316069,0.0,0.0,5.73e-05,0,32274,32106,0.0078485954,0.0015452282,4.59468e-05,0.0,0.0,0.5,0,6438,6.0,0.251188643151,OK,11.0771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128013,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
80.0,False,10000000,bb84-decoy,BB84DecoyProtocol,6425,0,0.0,125476.128422,0.0,0.0,0.00057398,0,3225,3200,0.0007859076,0.0001313549,4.0031e-06,0.0,0.0,0.5,0,642,16.0,0.025118864315,ZERO_KEY,5.9222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12880,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
110.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1628,0,0.0,31540.40448,0.0,0.0,0.00226333,0,804,824,0.0001979704,4.10149e-05,3.0025e-06,0.0,0.0,0.33333333,0,163,22.0,0.006309573445,ZERO_KEY,5.8774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
