distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_detector_det_eff_d0
130.0,False,10000000,bb84-decoy,BB84DecoyProtocol,619,0,0.0,12558.249224,0.0,0.0,0.0059417,0,307,312,7.50026e-05,1.89951e-05,0.0,0.0,0.0,0.0,0,62,26.0,0.002511886432,ZERO_KEY,6.1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
140.0,False,10000000,bb84-decoy,BB84DecoyProtocol,385,0,0.0,7923.995012,0.0,0.0,0.00953575,0,196,189,4.68741e-05,9.0087e-06,9.992e-07,0.0,0.0,0.0,0,38,28.0,0.001584893192,ZERO_KEY,5.9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
110.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1628,0,0.0,31540.40448,0.0,0.0,0.00226333,0,824,804,0.0001979704,4.10149e-05,3.0025e-06,0.0,0.0,0.33333333,0,163,22.0,0.006309573445,ZERO_KEY,6.4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
100.0,False,10000000,bb84-decoy,BB84DecoyProtocol,2549,0,0.0,49981.257029,0.0,0.0,0.00144614,0,1287,1262,0.0003113524,5.80546e-05,0.0,0.0,0.0,0.0,0,255,20.0,0.01,ZERO_KEY,6.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
90.0,False,10000000,bb84-decoy,BB84DecoyProtocol,4027,0,0.0,79197.58973,0.0,0.0,0.00091562,0,2076,1951,0.0004900355,0.0001051034,1.9969e-06,0.0,0.0,0.0,0,403,18.0,0.015848931925,ZERO_KEY,8.3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8155,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
30.0,True,10000000,bb84-decoy,BB84DecoyProtocol,63830,0,0.0,1244223.316069,0.25768447,0.25429479,0.2610962,16448,32061,31769,0.0070711569,0.0040090546,0.0032582633,0.23409071,0.40572852,0.5,1,6383,6.0,0.251188643151,ZERO_KEY,6.1796,214,86,128,0,0,0,1,0,0,0,0,0,15213,7513,7513,74,64162,124,0,0,0,0,0,233,0,1,127849,0,False,False,0,"{""afterpulse_total_count"": 124, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,245863,0,0.0,4819313.396138,0.259246,0.25751463,0.26098305,63739,123309,122554,0.0272475732,0.0154913937,0.0124088868,0.23486659,0.40854249,0.49995974,1,24586,0.0,1.0,ZERO_KEY,6.6273,3204,1583,1621,0,0,0,1,0,0,0,0,0,60820,30336,30336,310,248946,474,0,0,0,0,0,3399,0,1,497860,0,False,False,0,"{""afterpulse_total_count"": 474, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
10.0,True,10000000,bb84-decoy,BB84DecoyProtocol,158521,0,0.0,3081872.882826,0.25777657,0.25562462,0.25993739,40863,79551,78970,0.0175440088,0.0099932432,0.0081732554,0.23299491,0.40888178,0.5,1,15852,2.0,0.63095734448,ZERO_KEY,6.4629,1307,634,673,0,0,0,1,0,0,0,0,0,38117,19178,19178,200,159343,303,0,0,0,0,0,1363,0,1,318863,0,False,False,0,"{""afterpulse_total_count"": 303, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
20.0,True,10000000,bb84-decoy,BB84DecoyProtocol,100717,0,0.0,1961257.174125,0.25892352,0.25622024,0.26164069,26078,50231,50486,0.0111716678,0.0061953641,0.0051431138,0.23496375,0.40293928,0.50009726,1,10072,4.0,0.398107170553,ZERO_KEY,6.9452,563,285,278,0,0,0,1,0,0,0,0,0,24327,12128,12128,128,101344,205,0,0,0,0,0,573,0,1,202592,0,False,False,0,"{""afterpulse_total_count"": 205, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
50.0,True,10000000,bb84-decoy,BB84DecoyProtocol,25550,0,0.0,498132.008858,0.25890411,0.25354115,0.26432196,6615,12777,12773,0.0028394706,0.0015356385,0.0012954626,0.2383593,0.38461538,0.5007728,1,2555,10.0,0.1,ZERO_KEY,6.8622,40,20,20,0,0,0,1,0,0,0,0,0,6138,3014,3014,27,25842,44,0,0,0,0,0,43,0,1,51224,0,False,False,0,"{""afterpulse_total_count"": 44, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
60.0,True,10000000,bb84-decoy,BB84DecoyProtocol,16006,0,0.0,314733.983913,0.26271398,0.2559082,0.26960609,4205,7928,8078,0.0017752995,0.0010019409,0.0008013197,0.24023094,0.41516966,0.50062422,1,1601,12.0,0.063095734448,ZERO_KEY,6.3845,7,2,5,0,0,0,1,0,0,0,0,0,4072,2052,2052,16,16077,26,0,0,0,0,0,12,0,1,32148,0,False,False,0,"{""afterpulse_total_count"": 26, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
40.0,True,10000000,bb84-decoy,BB84DecoyProtocol,40205,0,0.0,787764.660056,0.25660987,0.25234587,0.26090906,10317,20165,20040,0.0044537035,0.0024869224,0.0020880291,0.23235385,0.40442656,0.50023935,1,4020,8.0,0.158489319246,ZERO_KEY,8.7259,88,50,38,0,0,0,1,0,0,0,0,0,9682,4864,4864,56,40275,93,0,0,0,0,0,85,0,1,80765,0,False,False,0,"{""afterpulse_total_count"": 93, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
150.0,False,10000000,bb84-decoy,BB84DecoyProtocol,257,0,0.0,4999.812507,0.0,0.0,0.01425109,0,120,137,3.10029e-05,9.0021e-06,0.0,0.0,0.0,0.0,0,26,30.0,0.001,ZERO_KEY,11.1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
70.0,True,10000000,bb84-decoy,BB84DecoyProtocol,10086,0,0.0,198756.860882,0.25907198,0.25054253,0.26774075,2613,4999,5087,0.0011140896,0.0006529073,0.000520206,0.23392797,0.39816233,0.5,1,1009,14.0,0.039810717055,ZERO_KEY,6.1743,3,0,3,0,0,0,1,0,0,0,0,0,2401,1176,1176,10,10162,16,0,0,0,0,0,7,0,1,20341,0,False,False,0,"{""afterpulse_total_count"": 16, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
90.0,True,10000000,bb84-decoy,BB84DecoyProtocol,3964,0,0.0,79197.58973,0.25857719,0.24500257,0.27250854,1025,1961,2003,0.0004414223,0.0002497091,0.0001830564,0.23477768,0.384,0.49726776,1,396,18.0,0.015848931925,ZERO_KEY,6.0848,1,1,0,0,0,0,1,0,0,0,0,0,956,484,484,5,4078,10,0,0,0,0,0,1,0,1,8054,0,False,False,0,"{""afterpulse_total_count"": 10, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
100.0,True,10000000,bb84-decoy,BB84DecoyProtocol,2585,0,0.0,49981.257029,0.2549323,0.2382233,0.27219811,659,1287,1298,0.0002862118,0.0001630923,0.0001320663,0.22969432,0.39877301,0.5,1,258,20.0,0.01,ZERO_KEY,6.2201,0,0,0,0,0,0,1,0,0,0,0,0,577,295,295,5,2530,6,0,0,0,0,0,1,0,1,5090,0,False,False,0,"{""afterpulse_total_count"": 6, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
120.0,True,10000000,bb84-decoy,BB84DecoyProtocol,1044,0,0.0,19902.387297,0.24425287,0.21846297,0.27149302,255,541,503,0.0001159021,6.39407e-05,5.29502e-05,0.22222222,0.375,0.49056604,1,104,24.0,0.003981071706,ZERO_KEY,6.0094,0,0,0,0,0,0,1,0,0,0,0,0,218,111,111,1,1056,1,0,0,0,0,0,1,0,1,2052,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
130.0,True,10000000,bb84-decoy,BB84DecoyProtocol,655,0,0.0,12558.249224,0.27022901,0.23655721,0.30598651,177,332,323,7.2112e-05,4.20206e-05,3.60342e-05,0.25303293,0.35714286,0.5,1,66,26.0,0.002511886432,ZERO_KEY,5.9173,0,0,0,0,0,0,1,0,0,0,0,0,154,75,75,0,650,1,0,0,0,0,0,0,0,1,1295,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
110.0,True,10000000,bb84-decoy,BB84DecoyProtocol,1638,0,0.0,31540.40448,0.25641026,0.2354109,0.27828603,420,811,827,0.0001821932,9.41872e-05,8.60435e-05,0.23182442,0.32978723,0.5,1,164,22.0,0.006309573445,ZERO_KEY,7.6595,0,0,0,0,0,0,1,0,0,0,0,0,380,188,188,1,1644,4,0,0,0,0,0,0,0,1,3285,0,False,False,0,"{""afterpulse_total_count"": 4, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
140.0,True,10000000,bb84-decoy,BB84DecoyProtocol,356,0,0.0,7923.995012,0.23595506,0.19280132,0.28356195,84,181,175,3.90044e-05,2.60292e-05,1.79637e-05,0.20833333,0.38461538,0.5,1,36,28.0,0.001584893192,ZERO_KEY,7.8266,0,0,0,0,0,0,1,0,0,0,0,0,92,46,46,0,374,0,0,0,0,0,0,0,0,1,768,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
80.0,True,10000000,bb84-decoy,BB84DecoyProtocol,6486,0,0.0,125476.128422,0.25794018,0.24732653,0.26877188,1673,3283,3203,0.0007216972,0.0003990279,0.0003131613,0.23830966,0.37844612,0.50159744,1,649,16.0,0.025118864315,ZERO_KEY,11.6706,3,1,2,0,0,0,1,0,0,0,0,0,1555,763,763,5,6506,10,0,0,0,0,0,5,0,1,12910,0,False,False,0,"{""afterpulse_total_count"": 10, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
150.0,True,10000000,bb84-decoy,BB84DecoyProtocol,260,0,0.0,4999.812507,0.21153846,0.16351762,0.26626614,55,122,138,2.97506e-05,1.09984e-05,1.09998e-05,0.18907563,0.45454545,0.54545455,1,26,30.0,0.001,ZERO_KEY,6.4286,0,0,0,0,0,0,1,0,0,0,0,0,61,25,25,0,242,0,0,0,0,0,0,0,0,1,496,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.1,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.1
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,296354,79775,0.0079775,7100768.934142,0.0,0.0,1.245e-05,0,147790,148564,0.0361036047,0.0073635027,0.0002060476,0.0,0.0,0.5,0,29635,0.0,1.0,OK,8.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593136,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.05,1,0,True,False,False,er_25.0db,2.8706829971541617e-05,0.5,0.8,0.1,0.1,0.0,0.1,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,0.15
